Interessado;UF;Tipo Interesse;Tipo Operação;Finalidade;Tipo Credor;Credor;Moeda;Valor;N Processo;Status;Data;Analisado
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 172.700,00 ;17944.000104/2008-22;Arquivado;17/04/2008;STN
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 187.200,00 ;17944.001037/2009-44;Deferido;20/11/2009;STN
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real; R$ 700.000,00 ;PVL02.007525/2019-74;Deferido (PVL-IF);20/11/2019;Instituição Financeira
Abaeté;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real; R$ 2.500.000,00 ;17944.103101/2020-36;Em retificação pelo credor;02/06/2021;STN
Abaíra;BA;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 299.450,00 ;17944.001207/2008-18;Arquivado;26/08/2008;STN
Abaíra;BA;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real; R$ 160.000,00 ;19407.000025/2002-39;Deferido;29/07/2002;STN
Abatiá;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real; R$ 40.000,00 ;19406.000266/2007-01;Deferido;27/07/2007;STN
Abatiá;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real; R$ 1.100.000,00 ;17944.000786/2015-01;Deferido;14/09/2015;STN
Abatiá;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real; R$ 3.500.000,00 ;PVL02.001361/2022-77;Deferido (PVL-IF);20/07/2022;Instituição Financeira
Abdon Batista;SC;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real; R$ 429.760,00 ;00000.000000/0081-48;Devolvido;11/01/2012;STN
